the	các
easter	Phục Sinh
theories	lý thuyết
repository	kho
praise	khen
concentrations	nồng độ
vibrators	máy rung
veteran	cựu chiến binh
streams	dòng
landing	đổ bộ
signing	ký kết
executed	Thực thi
negotiations	đàm phán
realistic	thực tế
showcase	trưng bày
integral	tích phân
asks	hỏi
relax	thư giãn
generating	tạo ra
congressional	quốc hội
synopsis	Tóm tắt
hardly	khắc nghiệt
prairie	Thảo nguyên
reunion	đoàn tụ
composer	nhà soạn nhạc
bean	hạt đậu
sword	thanh kiếm
absent	vắng mặt
photographic	nhiếp ảnh
sells	bán
hoping	hi vọng
accessed	đã truy cập
spirits	tinh thần
modifications	sửa đổi
coral	san hô
pixel	điểm ảnh
float	trôi nổi
colin	colin
bias	Thiên kiến
imported	nhập khẩu
paths	đường dẫn
bubble	bong bóng
por	bởi vì
acquire	giành được
contrary	trái ngược
millennium	thiên niên kỷ
tribune	diễn đàn
vessel	tàu
acids	axit
focusing	tập trung
viruses	virus
cheaper	giá rẻ hơn
admitted	thừa nhận
dairy	sản phẩm bơ sữa
admit	thừa nhận
fancy	si mê
equality	bình đẳng
achieving	đạt được
tap	vỗ nhẹ
stickers	nhãn dán
fisheries	thủy sản
exceptions	ngoại lệ
reactions	phản ứng
leasing	cho thuê
beliefs	niềm tin
companion	bạn đồng hành
squad	đội hình
analyze	phân tích
scroll	cuộn
relate	liên quan
divisions	sự phân chia
swim	bơi
wages	tiền lương
additionally	Ngoài ra
suffer	chịu đựng
forests	rừng
fellowship	tình bằng hữu
nano	nano
invalid	không hợp lệ
concerts	buổi hòa nhạc
martial	võ thuật
males	nam giới
retain	giữ lại
colours	màu sắc
execute	hành hình
tunnel	đường hầm
genres	thể loại
patents	bằng sáng chế
copyrights	bản quyền
chaos	sự hỗn loạn
wheat	lúa mì
chronicles	biên niên sử
obtaining	thu được
beaver	hải ly
updating	đang cập nhật
distribute	phân phát
readings	bài đọc
decorative	trang trí
confused	bối rối
compiler	trình biên dịch
enlargement	mở rộng
eagles	đại bàng
bases	căn cứ
accused	bị buộc tội
bee	con ong
campaigns	chiến dịch
unity	đoàn kết
loud	ồn ào
conjunction	sự liên kết
bride	cô dâu
rats	chuột
defines	định nghĩa
airports	sân bay
instances	trường hợp
indigenous	bản địa
begun	đã bắt đầu
brunette	tóc nâu
packets	gói
anchor	mỏ neo
socks	vớ
validation	Thẩm định
parade	cuộc diễu hành
corruption	tham nhũng
stat	chỉ số
trigger	cò súng
incentives	ưu đãi
gathered	tập hợp lại
notified	đã thông báo
differential	sự khác biệt
beaches	bãi biển
folders	thư mục
dramatic	kịch
surfaces	bề mặt
terrible	kinh khủng
routers	bộ định tuyến
cruz	chéo
pendant	mặt dây chuyền
dresses	váy đầm
baptist	người rửa tội
scientist	nhà khoa học
starsmerchant	ngôi sao thương gia
hiring	tuyển dụng
clocks	đồng hồ
arthritis	viêm khớp
bios	tiểu sử
females	phụ nữ
nevertheless	tuy nhiên
reflects	phản ánh
taxation	đánh thuế
fever	sốt
cuisine	ẩm thực
surely	chắc chắn
practitioners	học viên
transcript	bảng điểm
myspace	chỗ của tôi
theorem	định lý
inflation	lạm phát
thee	ngươi
ruth	ru rú
pray	cầu nguyện
stylus	bút cảm ứng
compounds	Các hợp chất
pope	giáo hoàng
drums	trống
contracting	hợp đồng
topless	cởi trần
structured	có cấu trúc
reasonably	hợp lý
chicks	gà con
bare	trần trụi
hung	treo
cattle	gia súc
radical	căn bản
graduates	tốt nghiệp
rover	người đi thám hiểm
recommends	đề nghị
controlling	kiểm soát
treasure	kho báu
reload	tải lại
distributors	nhà phân phối
flame	ngọn lửa
tanks	xe tăng
assuming	giả định
monetary	tiền tệ
elderly	người già
pit	hố
mono	bệnh tăng bạch cầu đơn nhân
particles	vật rất nhỏ
floating	nổi
extraordinary	đặc biệt
tile	ngói
indicating	chỉ ra
spell	Đánh vần
hottest	nóng nhất
coordinate	điều phối
exclusively	duy nhất
alleged	bị cáo buộc
limitation	giới hạn
widescreen	màn ảnh rộng
compile	biên soạn
squirting	xuất tinh
struck	đánh
illustration	hình minh họa
warnings	cảnh báo
construct	xây dựng
apps	ứng dụng
inquiries	thắc mắc
bridal	cô dâu
annex	Phụ lục
mag	tạp chí
inspiration	cảm hứng
tribal	bộ lạc
curious	tò mò
affecting	ảnh hưởng đến
freight	vận chuyển hàng hóa
rebate	hạ giá
meetup	gặp
eclipse	nhật thực
downloading	đang tải xuống
shuttle	đưa đón
aggregate	tổng hợp
stunning	kinh ngạc
cycles	chu kỳ
affects	ảnh hưởng
forecasts	dự báo
detect	phát hiện
sluts	gái điếm
actively	tích cực
ciao	chào
knee	đầu gối
prep	chuẩn bị
complicated	phức tap
chem	hóa chất
fastest	nhanh nhất
butler	quản gia
injured	bị thương
decorating	trang trí
payroll	lương bổng
cookbook	sách dạy nấu ăn
expressions	biểu thức
ton	tấn
courier	chuyển phát nhanh
uploaded	đã tải lên
hints	gợi ý
collapse	sụp đổ
americas	Châu Mỹ
connectors	đầu nối
twinks	đồng tính
unlikely	không thể
pros	thuận
conflicts	xung đột
techno	kỹ thuật
beverage	đồ uống
tribute	cống vật
wired	có dây
immune	miễn dịch
travelers	Du khách
forestry	lâm nghiệp
barriers	rào cản
cant	không thể
rarely	hiếm khi
infected	bị lây nhiễm
offerings	lễ vật
genesis	nguồn gốc
barrier	rào chắn
argue	tranh cãi
incorrect	không đúng
trains	xe lửa
metals	kim loại
bicycle	xe đạp
furnishings	nội thất
letting	để cho
arise	nảy sinh
thereby	bằng cách ấy
particle	hạt
perception	sự nhận thức
minerals	khoáng sản
advise	khuyên nhủ
humidity	độ ẩm
bottles	chai
boxing	quyền anh
renaissance	sự phục hưng
pathology	bệnh lý
bra	áo ngực
ordinance	sắc lệnh
hughes	ôm
photographers	nhiếp ảnh gia
bitch	con khốn
infections	nhiễm trùng
chess	cờ vua
operates	vận hành
configured	được cấu hình
survive	tồn tại
festivals	lễ hội
menus	thực đơn
possibilities	khả năng
duck	con vịt
reveal	tiết lộ
canal	con kênh
amino	amino
contributing	đóng góp
herbs	các loại thảo mộc
clinics	phòng khám
cow	con bò
analytical	phân tích
missions	nhiệm vụ
lying	nằm
costumes	trang phục
strict	nghiêm ngặt
dive	lặn
circulation	vòng tuần hoàn
drill	máy khoan
offense	xúc phạm
threesome	có ba người
protest	phản kháng
handjob	sờ mó
assumption	giả thiết
hobby	sở thích
tries	cố gắng
transexuales	người chuyển giới
invention	sự phát minh
nickname	tên nick
technician	kỹ thuật viên
inline	nội tuyến
executives	giám đốc điều hành
enquiries	thắc mắc
washing	rửa
staffing	nhân sự
cognitive	nhận thức
exploring	khám phá
trick	lừa
enquiry	cuộc điều tra
closure	Khép kín
raid	cuộc đột kích
timber	gỗ
volt	vôn
intense	mãnh liệt
playlist	danh sách phát
registrar	người đăng ký
showers	vòi hoa sen
supporters	những người ủng hộ
ruling	cầm quyền
steady	vững chắc
dirt	bụi bẩn
statutes	quy chế
withdrawal	rút tiền
drops	giọt
predicted	dự đoán
wider	rộng hơn
cancellation	hủy bỏ
plugins	bổ sung
enrolled	đã ghi danh
sensors	cảm biến
screw	Đinh ốc
ministers	bộ trưởng
publicly	công khai
hourly	hàng giờ
blame	đổ tội
veterinary	thú y
prostores	bán dâm
reseller	người bán lại
dist	quận
handed	trao tay
suffered	chịu đựng
intake	đầu vào
informal	không chính thức
relevance	sự liên quan
incentive	khích lệ
butterfly	bươm bướm
mechanics	cơ khí
heavily	nặng nề
swingers	người đánh đu
fifty	năm mươi
headers	tiêu đề
mistakes	sai lầm
numerical	số
ons	tiện ích
geek	người đam mê công nghệ
uncle	chú
defining	xác định
counting	đếm
reflection	sự phản xạ
sink	bồn rửa
accompanied	đi kèm
assure	cam đoan
invitation	lời mời
devoted	tận tâm
randy	ngẫu nhiên
spirituality	tâm linh
hormone	nội tiết tố
meanwhile	trong khi đó
proprietary	độc quyền
childrens	trẻ con
brick	gạch
grip	nắm chặt
naval	hải quân
thumbzilla	ngón tay cái
medieval	thời trung cổ
porcelain	sứ
bridges	cầu
pichunter	thợ săn ảnh
captured	bị bắt
watt	oát
decent	tử tế
casting	vật đúc
translated	đã dịch
shortly	trong thời gian ngắn
cameron	người quay phim
columnists	người viết chuyên mục
pins	ghim
reno	cải tạo
donna	không
warrior	chiến binh
diploma	bằng cấp
innocent	vô tội
bdsm	cực khoái
scanning	quét
ide	ý tưởng
consensus	đoàn kết
valium	vali
copying	sao chép
rpg	nhập vai
delivering	giao hàng
cordless	không dây
horn	sừng
eddie	xoáy nước
fired	Bị sa thải
journalism	báo chí
prot	ủng hộ
trivia	chuyện vặt vãnh
frog	con ếch
grammar	ngữ pháp
intention	chủ đích
disagree	không đồng ý
tires	lốp xe
logs	nhật ký
undertaken	thực hiện
tgp	tgp
hazard	nguy hiểm
retro	cổ điển
statewide	toàn tiểu bang
semiconductor	chất bán dẫn
gregory	tập đoàn
episodes	tập phim
circular	dạng hình tròn
anger	sự tức giận
diy	tự làm lấy
mainland	đất liền
illustrations	minh họa
suits	bộ quần áo
chances	cơ hội
interact	tương tác
snap	búng tay
happiness	niềm hạnh phúc
arg	tranh luận
substantially	đáng kể
bizarre	kỳ quái
olympics	Thế vận hội
fruits	trái cây
identifier	định danh
geo	địa lý
worldsex	thế giới tình dục
ribbon	ruy-băng
calculations	tính toán
doe	nai cái
conducting	tiến hành
startup	khởi động
kissing	hôn nhau
handy	tiện dụng
swap	tráo đổi
exempt	miễn
crops	cây trồng
reduces	giảm
accomplished	hoàn thành
calculators	máy tính
geometry	hình học
impression	ấn tượng
abs	cơ bụng
flip	lật
guild	bang hội
correlation	sự tương quan
gorgeous	lộng lẫy
capitol	thủ đô
dishes	đĩa
nervous	lo lắng
refuse	từ chối
extends	mở rộng
fragrance	hương thơm
replica	bản sao
plumbing	hệ thống ống nước
tribe	bộ lạc
neighbors	người hàng xóm
trades	giao dịch
superb	tuyệt vời
transparent	trong suốt
nuke	vũ khí hạt nhân
rid	thoát khỏi
trinity	ba ngôi
handled	xử lý
legends	truyền thuyết
boom	bùng nổ
calm	điềm tĩnh
champions	nhà vô địch
floors	tầng
selections	sự lựa chọn
projectors	máy chiếu
inappropriate	không phù hợp
exhaust	khí thải
comparing	so sánh
speaks	nói
vocational	nghề nghiệp
copied	sao chép
farming	nông nghiệp
gibson	vượn
pharmacies	hiệu thuốc
fork	cái nĩa
roller	Trục lăn
introducing	giới thiệu
batch	lô hàng
organize	tổ chức
appreciated	đánh giá cao
alter	thay đổi
ghana	Ghana
edges	các cạnh
mixing	trộn
handles	tay cầm
skilled	có tay nghề cao
fitted	được trang bị
harmony	hòa hợp
distinguished	phân biệt
asthma	bệnh hen suyễn
projected	dự kiến
assumptions	giả định
shareholders	cổ đông
twins	cặp song sinh
developmental	phát triển
rip	xé
regulated	quy định
triangle	Tam giác
amend	sửa đổi
anticipated	dự kiến
oriental	phương đông
reward	phần thưởng
windsor	cửa gió
completing	hoàn thành
hydrogen	hydro
webshots	ảnh chụp web
sprint	tăng tốc
comparable	so sánh được
chick	gà con
advocate	biện hộ
confusion	lú lẫn
copyrighted	có bản quyền
tray	cái mâm
inputs	đầu vào
warranties	bảo đảm
genome	bộ gen
escorts	hộ tống
documented	tài liệu
thong	quần lót
medal	huy chương
paperbacks	sách bìa mềm
coaches	huấn luyện viên
vessels	tàu thuyền
harbour	Hải cảng
walks	đi bộ
sucks	tệ quá
keyboards	những bàn phím
sage	Hiền nhân
knives	những con dao
eco	sinh thái
vulnerable	dễ bị tổn thương
arrange	sắp xếp
artistic	thuộc về nghệ thuật
bat	con dơi
honors	danh dự
booth	gian hàng
indie	độc lập
reflected	phản ánh
unified	thống nhât
bones	xương
breed	giống
detector	máy dò
ignored	làm ngơ
polar	vùng cực
fallen	rơi
precise	chính xác
respiratory	hô hấp
notifications	thông báo
transexual	chuyển giới
mainstream	Xu hướng
invoice	hóa đơn
evaluating	đánh giá
lip	môi
subcommittee	tiểu ban
sap	nhựa cây
gather	tập trung
suse	sử dụng
maternity	thai sản
backed	được hỗ trợ
colonial	thuộc địa
mf	bà già
carey	cẩn thận
motels	nhà nghỉ
forming	hình thành
embassy	đại sứ quán
cave	hang
journalists	nhà báo
slight	mảnh dẻ
proceeds	tiền thu được
indirect	gián tiếp
amongst	trong số
wool	len
foundations	nền móng
msgstr	tin nhắn
arrest	bắt giữ
volleyball	bóng chuyền
adipex	phần mỡ
horizon	chân trời
nu	không
deeply	sâu sắc
toolbox	hộp công cụ
marina	bến du thuyền
liabilities	nợ phải trả
prizes	giải thưởng
browsers	trình duyệt
decreased	giảm
patio	hiên nhà
tolerance	sức chịu đựng
surfing	lướt sóng
creativity	sáng tạo
describing	miêu tả
optics	quang học
pursue	theo đuổi
lightning	tia sét
overcome	vượt qua
eyed	có mắt
quotations	trích dẫn
grab	vồ lấy
inspector	thanh tra
attract	thu hút
beans	đậu
bookmarks	dấu trang
disable	vô hiệu hóa
snake	rắn
succeed	thành công
lending	cho vay
oops	Ối
reminder	lời nhắc nhở
nipple	núm vú
searched	đã tìm kiếm
behavioral	hành vi
riverside	bờ sông
bathrooms	phòng tắm
plains	đồng bằng
sku	mã hàng
insights	hiểu biết sâu sắc
abilities	khả năng
initiated	khởi xướng
midwest	trung tây
karaoke	karaoke
trap	cạm bẫy
lonely	cô đơn
fool	ngu xuẩn
ve	đã
nonprofit	phi lợi nhuận
suspended	cấm
hereby	bằng cách này
observe	quan sát
containers	hộp đựng
attitudes	thái độ
berry	quả mọng
collar	cổ áo
simultaneously	đồng thời
racial	chủng tộc
integrate	tích hợp
sociology	xã hội học
mobiles	điện thoại di động
screenshot	ảnh chụp màn hình
exhibitions	triển lãm
confident	tự tin
retrieved	đã lấy lại
exhibits	vật trưng bày
officially	chính thức
consortium	tập đoàn
dies	chết
terrace	sân thượng
bacteria	vi khuẩn
pts	điểm
replied	đã trả lời
seafood	Hải sản
novels	tiểu thuyết
recipients	người nhận
playboy	tay chơi
ought	nên
delicious	thơm ngon
traditions	truyền thống
jail	nhà giam
safely	an toàn
finite	có hạn
kidney	quả thận
periodically	định kỳ
fixes	sửa lỗi
sends	gửi
durable	bền chặt
allied	liên minh
throws	ném
moisture	độ ẩm
roster	danh sách
referring	giới thiệu
transform	biến đổi
timer	hẹn giờ
tablets	máy tính bảng
tuning	điều chỉnh
gotten	nhận được
educators	nhà giáo dục
tyler	ông trùm
futures	tương lai
vegetable	rau quả
verse	thơ
highs	mức cao
humanities	nhân văn
independently	độc lập
wanting	muốn
custody	sự coi giư
scratch	cào
launches	ra mắt
alignment	căn chỉnh
masturbating	thủ dâm
comm	liên lạc
competitors	đối thủ cạnh tranh
rocket	tên lửa
aye	vâng
bullet	đạn
towers	tháp
racks	giá đỡ
lace	ren
nasty	bẩn thỉu
visibility	hiển thị
latitude	vĩ độ
consciousness	ý thức
tumor	khối u
ugly	xấu xí
deposits	tiền gửi
mistress	tình nhân
encounter	bắt gặp
trustees	người được ủy thác
reprints	tái bản
hart	con hươu đực
resolutions	nghị quyết
ment	tâm sự
accessing	truy cập
forty	bốn mươi
tubes	ống
attempted	đã cố gắng
midlands	trung du
priest	thầy tu
analysts	nhà phân tích
queue	xếp hàng
trance	xuất thần
locale	ngôn ngữ
biol	sinh học
bundle	bó
hammer	cây búa
invasion	cuộc xâm lăng
witnesses	nhân chứng
runner	Á hậu
rows	hàng
administered	quản lý
notion	khái niệm
skins	da
mailed	gửi qua đường bưu điện
spelling	chính tả
arctic	Bắc cực
exams	kỳ thi
rewards	phần thưởng
beneath	bên dưới
strengthen	tăng cường
defend	phòng vệ
medicaid	trợ cấp y tế
infrared	tia hồng ngoại
seventh	thứ bảy
gods	vị thần
une	một
welsh	người xứ Wales
belly	bụng
aggressive	hung dữ
advertisements	quảng cáo
quarters	khu phố
stolen	ăn cắp
sublimedirectory	thư mục siêu phàm
soonest	sớm nhất
disturbed	bị làm phiền
determines	xác định
sculpture	điêu khắc
poly	nhiều
ears	đôi tai
do	làm gì
fist	nắm tay
naturals	tự nhiên
neo	tân
motivation	động lực
lenders	người cho vay
pharmacology	dược học
fitting	lắp
fixtures	đồ đạc
mere	chỉ là
agrees	đồng ý
passengers	hành khách
quantities	số lượng
consistently	nhất quán
cons	nhược điểm
surplus	số dư
elder	đàn anh
sonic	âm thanh
obituaries	cáo phó
cheers	chúc mừng
dig	đào
taxi	xe tắc xi
punishment	hình phạt
appreciation	sự đánh giá
subsequently	sau đó
nat	tự nhiên
zoning	phân vùng
gravity	Trọng lực
providence	sự quan phòng
thumb	ngón tay cái
restriction	sự hạn chế
incorporate	kết hợp
backgrounds	tầng lớp
treasurer	thủ quỹ
guitars	ghi-ta
essence	nước hoa
flooring	ván sàn
lightweight	nhẹ
mighty	hùng mạnh
athletes	vận động viên
humanity	nhân loại
transcription	phiên mã
complications	biến chứng
scholars	học giả
scripting	kịch bản
remembered	đã nhớ
galaxy	ngân hà
snapshot	ảnh chụp nhanh
caring	quan tâm
worn	rách nát
synthetic	tổng hợp
shaw	khăn choàng
vp	phó chủ tịch
segments	phân đoạn
testament	di chúc
expo	triển lãm
dominant	trội
twist	xoắn
specifics	chi tiết cụ thể
stomach	cái bụng
partially	một phần
buried	chôn cất
newbie	người mới
minimize	giảm thiểu
ranks	cấp bậc
wilderness	hoang dã
debut	ra mắt
generations	các thế hệ
tournaments	giải đấu
bradley	lúa mạch
deny	từ chối
anatomy	giải phẫu học
sponsorship	sự tài trợ
headphones	tai nghe
fraction	phân số
trio	bộ ba
proceeding	tiến hành
cube	khối lập phương
defects	khiếm khuyết
uncertainty	tính không chắc chắn
breakdown	phá vỡ
marker	đánh dấu
reconstruction	tái thiết
subsidiary	công ty con
strengths	điểm mạnh
clarity	trong trẻo
rugs	thảm
encouraging	đáng khích lệ
furnished	trang bị
settled	định cư
folding	gấp
emirates	tiểu vương quốc
terrorists	bọn khủng bố
airfare	vé máy bay
comparisons	sự so sánh
beneficial	có lợi
distributions	sự phân phối
vaccine	vắc xin
crap	tào lao
fate	định mệnh
viewpicture	xem hình ảnh
promised	đã hứa
penny	đồng xu
robust	khỏe mạnh
bookings	đặt chỗ
threatened	bị đe dọa
republicans	những người theo chủ nghĩa cộng hòa
discusses	thảo luận
gui	gui
porter	người khuân vác
jungle	rừng
ver	phiên bản
responded	đã trả lời
rim	vành
abstracts	tóm tắt
zen	thiền học
ivory	ngà voi
alpine	núi cao
prediction	sự dự đoán
pharmaceuticals	dược phẩm
fabulous	tuyệt vời
remix	phối lại
alias	bí danh
thesaurus	từ điển đồng nghĩa
individually	riêng lẻ
battlefield	chiến trường
literally	theo đúng nghĩa đen
newer	mới hơn
kay	được rồi
ecological	sinh thái
spice	gia vị
oval	hình trái xoan
implies	ngụ ý
cooler	mát hơn
appraisal	đánh giá
consisting	bao gồm
maritime	hàng hải
periodic	định kỳ
submitting	nộp
overhead	trên không
prospect	tiềm năng
shipment	lô hàng
breeding	chăn nuôi
citations	trích dẫn
geographical	địa lý
donor	nhà tài trợ
tension	căng thẳng
trash	rác
shapes	hình dạng
tier	tầng
earl	bá tước
manor	trang viên
envelope	phong bì
homeland	quê hương
disclaimers	tuyên bố từ chối trách nhiệm
championships	giải vô địch
excluded	bị loại trừ
breeds	giống
rapids	thác ghềnh
disco	sàn nhảy
endif	cuối cùng
finishing	hoàn thiện
emotions	những cảm xúc
incoming	mới đến
prospects	tương lai
lexmark	từ vựng
cleaners	chất tẩy rửa
hwy	đường cao tốc
eternal	Vĩnh hằng
cashiers	Thu ngân
cite	trích dẫn
aboriginal	thổ dân
remarkable	đáng chú ý
rotation	Vòng xoay
preventing	ngăn ngừa
productive	năng suất
boulevard	đại lộ
pig	con lợn
metric	Hệ mét
compliant	tuân thủ
minus	dấu trừ
penalties	hình phạt
imagination	trí tưởng tượng
hotmail	thư nóng
refurbished	Tân trang lại
varied	đa dạng
grande	vĩ đại
closest	gần nhất
activated	kích hoạt
actress	nữ diễn viên
mess	sự lộn xộn
conferencing	hội nghị
assign	giao phó
armstrong	cánh tay mạnh mẽ
politicians	chính trị gia
lit	thắp sáng
accommodate	chứa
tigers	Nhiều con hổ
aurora	rạng Đông
premiere	ra mắt
lender	người cho vay
villages	làng
shade	bóng râm
chorus	Điệp khúc
rhythm	nhịp
digit	chữ số
argued	Tranh luận
dietary	chế độ ăn kiêng
symphony	bản giao hưởng
sudden	đột nhiên
accepting	chấp nhận
precipitation	sự kết tủa
lions	sư tử
findlaw	luật pháp
pools	hồ bơi
lyric	lời bài hát
isolation	sự cách ly
speeds	tốc độ
sustained	duy trì
matched	phù hợp
approximate	xấp xỉ
rope	dây thừng
rational	hợp lý
programmer	lập trình viên
fighters	máy bay chiến đấu
chambers	buồng
dump	bãi rác
greetings	lời chào hỏi
inherited	thừa hưởng
warming	sự nóng lên
incomplete	chưa hoàn thiện
vocals	giọng hát
chronicle	ghi chép lại
fountain	Đài phun nước
chubby	mập mạp
grave	phần mộ
legitimate	hợp pháp
biographies	tiểu sử
burner	đầu đốt
investigator	người điều tra
plaintiff	nguyên đơn
gentle	dịu dàng
prisoners	tù nhân
deeper	sâu sắc hơn
hose	vòi nước
mediterranean	Địa Trung Hải
nightlife	cuộc sống về đêm
footage	cảnh quay
howto	làm cách nào để
worthy	xứng đáng
reveals	tiết lộ
architects	kiến trúc sư
saints	thánh
entrepreneur	doanh nhân
carries	mang theo
sig	ký tên
freelance	người làm việc tự do
duo	cặp đôi
excessive	quá đáng
devon	quỷ dữ
screensaver	bảo vệ màn hình
saves	tiết kiệm
regarded	đánh giá
valuation	định giá
unexpected	không ngờ tới
cigarette	thuốc lá
fog	sương mù
characteristic	đặc trưng
lobby	sảnh
metallica	kim loại
outlined	nêu
consequently	do đó
headline	tiêu đề
treating	điều trị
punch	cú đấm
appointments	cuộc hẹn
gotta	cần phải
cowboy	cao bồi
narrative	chuyện kể
enormous	lớn lao
karma	nghiệp chướng
consist	bao gồm
queens	nữ hoàng
academics	học giả
pubs	quán rượu
quantitative	định lượng
shemales	người chuyển giới
screensavers	trình bảo vệ màn hình
subdivision	phân khu
tribes	bộ lạc
vip	cao cấp
defeat	đánh bại
clicks	số lần nhấp chuột
distinction	sự phân biệt
naughty	nghịch ngợm
hazards	mối nguy hiểm
insured	được bảo hiểm
harper	người chơi đàn hạc
livestock	vật nuôi
mardi	thứ ba
exemption	miễn trừ
tenant	người thuê nhà
sustainability	Sự bền vững
cabinets	tủ
tattoo	xăm hình
shake	lắc
algebra	đại số học
shadows	bóng tối
holly	nhựa ruồi
formatting	định dạng
silly	ngớ ngẩn
nutritional	dinh dưỡng
yea	vâng
mercy	nhân từ
freely	tự do
sunrise	bình Minh
wrapping	gói
mild	nhẹ
fur	lông thú
weblogs	nhật ký web
timeline	mốc thời gian
tar	hắc ín
belongs	thuộc về
readily	dễ dàng
affiliation	liên kết
fence	hàng rào
nudist	người theo chủ nghĩa khỏa thân
infinite	vô hạn
ensures	đảm bảo
relatives	họ hàng
clan	thị tộc
legally	hợp pháp
shame	nỗi tủi nhục
satisfactory	thỏa đáng
revolutionary	mang tính cách mạng
bracelets	vòng tay
sync	đồng bộ hóa
civilian	dân sự
telephony	điện thoại
fatal	gây tử vong
remedy	phương thuốc
realtors	người môi giới bất động sản
breathing	thở
briefly	Tóm tắt
thickness	độ dày
adjustments	điều chỉnh
graphical	đồ họa
genius	thiên tài
discussing	thảo luận
aerospace	hàng không vũ trụ
fighter	đấu sĩ
meaningful	có ý nghĩa
flesh	thịt
retreat	rút lui
adapted	thích nghi
barely	vừa đủ
wherever	bất cứ nơi nào
estates	bất động sản
rug	tấm thảm
democrat	nhà dân chủ
borough	quận
maintains	duy trì
failing	thất bại
shortcuts	phím tắt
retained	giữ lại
marble	đá hoa
extending	mở rộng
specifies	chỉ định
hull	thân tàu
briefing	cuộc họp
them	họ
accreditation	công nhận
blackberry	dâu đen
highland	Cao nguyên
meditation	thiền
modular	mô-đun
microphone	cái mic cờ rô
combining	kết hợp
brandon	rượu mạnh
instrumental	nhạc cụ
giants	người khổng lồ
organizing	tổ chức
shed	túp lều
balloon	bóng bay
moderators	người điều hành
memo	bản ghi nhớ
ham	giăm bông
solved	đã giải quyết
tide	thủy triều
standings	bảng xếp hạng
partition	vách ngăn
invisible	vô hình
gratuit	miễn phí
consoles	bảng điều khiển
funk	trò đùa
magnet	nam châm
translations	bản dịch
jaguar	báo đốm
reel	cuộn dây
sheer	tuyệt đối
commodity	hàng hóa
posing	tạo dáng
kilometers	km
bind	trói buộc
thanksgiving	lễ tạ ơn
urgent	cấp bách
guarantees	đảm bảo
infants	trẻ sơ sinh
gothic	kiểu gô tích
cylinder	hình trụ
witch	phù thủy
buck	Cái xô
indication	chỉ dẫn
congratulations	Chúc mừng
puppy	cún yêu
acre	mẫu Anh
graphs	đồ thị
surround	vây quanh
cigarettes	thuốc lá
revenge	sự trả thù
expires	hết hạn
enemies	kẻ thù
lows	mức thấp
controllers	bộ điều khiển
aqua	nước
consultancy	tư vấn
finances	tài chính
accepts	chấp nhận
enjoying	thưởng thức
conventions	quy ước
patrol	tuần tra
smell	mùi
pest	côn trùng
coordinates	tọa độ
carnival	lễ hội hóa trang
roughly	đại khái
sticker	nhãn dán
promises	lời hứa
responding	đáp ứng
reef	rạn san hô
physically	về thể chất
divide	chia
stakeholders	các bên liên quan
consecutive	liên tiếp
satin	sa tanh
bon	vui vẻ
deserve	xứng đáng
attempting	cố gắng
mailto	gửi thư
promo	khuyến mãi
representations	sự đại diện
worried	lo lắng
tunes	giai điệu
garbage	rác
competing	cạnh tranh
combines	kết hợp
phrases	cụm từ
peninsula	bán đảo
boring	nhạt nhẽo
dom	nhà thờ
accurately	chính xác
speeches	bài phát biểu
reaches	đạt tới
schema	lược đồ
considers	xem xét
sofa	ghế sô pha
catalogs	danh mục sản phẩm
ministries	các bộ
vacancies	vị trí tuyển dụng
quizzes	câu đố
parliamentary	nghị viện
obj	vật thể
prefix	tiếp đầu ngữ
savannah	thảo nguyên
barrel	thùng
typing	đánh máy
nerve	dây thần kinh
planets	những hành tinh
deficit	thiếu hụt hoặc khuyết
boulder	tảng đá
pointing	Chỉ trỏ
renew	thay mới
coupled	kết hợp
circuits	Chu trình
floppy	đĩa mềm
texture	kết cấu
handbags	túi xách
jar	cái lọ
somerset	người nào đó
incurred	phát sinh
acknowledge	thừa nhận
thoroughly	triệt để
thunder	sấm sét
tent	lều
caution	thận trọng
identifies	xác định
questionnaire	bảng câu hỏi
qualification	trình độ chuyên môn
locks	ổ khóa
modelling	người mẫu
namely	cụ thể là
miniature	thu nhỏ
dept	ban
hack	gian lận
dare	dám
interstate	liên bang
pirates	Hải tặc
aerial	trên không
hawk	chim ưng
consequence	kết quả
rebel	nổi loạn
systematic	có tính hệ thống
perceived	lĩnh hội
origins	nguồn gốc
hired	được thuê
makeup	trang điểm
textile	dệt may
lamb	cừu non
tobago	thuốc lá
presenting	trình bày
troubleshooting	xử lý sự cố
indexes	chỉ số
pac	nhịp độ
centuries	thế kỉ
glass	kính
magnitude	kích cỡ
fragrances	nước hoa
vocabulary	từ vựng
licking	liếm
earthquake	động đất
fundraising	gây quỹ
markers	đánh dấu
weights	trọng lượng
geological	Địa chất học
assessing	đánh giá
lasting	bền vững
wicked	độc ác
eds	biên tập
introduces	giới thiệu
kills	giết chết
roommate	bạn cùng phòng
pushed	đẩy
webmasters	quản trị trang web
computational	tính toán
acdbentity	tính quen thuộc
participated	đã tham gia
junk	rác
handhelds	Thiết bị cầm tay
wax	sáp
answering	trả lời
impressed	ấn tượng
slope	dốc
failures	thất bại
poet	nhà thơ
conspiracy	âm mưu
surname	họ
theology	thần học
nails	móng tay
evident	hiển nhiên
whats	cái gì
rides	cưỡi ngựa
rehab	trại cai nghiện
epic	sử thi
